date,status,price,buy_conf,sell_conf,action
2023-01-03,idle_check_buy,14224.12,0.9771332740783691,0.0,wait
2023-01-04,idle_check_buy,14199.13,1.0,0.0,wait
2023-01-05,idle_check_buy,14301.05,1.0,0.0,wait
2023-01-06,idle_check_buy,14373.34,1.0,0.0,wait
2023-01-09,idle_check_buy,14752.21,0.9999524354934692,0.0,wait
2023-01-10,idle_check_buy,14802.96,1.0,0.0,wait
2023-01-11,idle_check_buy,14751.44,1.0,0.0,wait
2023-01-12,idle_check_buy,14731.64,1.0,0.0,wait
2023-01-13,idle_check_buy,14824.13,0.9737407565116882,0.0,BUY
2023-01-16,holding,14927.01,0.0,0.9999847412109375,hold
2023-01-17,holding,14932.93,0.0,0.9999847412109375,hold
2023-01-30,holding,15493.82,0.0,0.999984860420227,hold
2023-01-31,holding,15265.2,0.0,0.999984860420227,hold
2023-02-01,holding,15420.13,0.0,0.999984860420227,hold
2023-02-02,holding,15595.16,0.0,0.999984860420227,hold
2023-02-03,holding,15602.66,0.0,0.999984860420227,hold
2023-02-06,holding,15392.82,0.0,0.999984860420227,hold
2023-02-07,holding,15400.91,0.0,0.9999847412109375,hold
2023-02-08,holding,15618.17,0.0,0.999984860420227,hold
2023-02-09,holding,15598.71,0.0,0.999984860420227,hold
2023-02-10,holding,15586.65,0.0,0.999984860420227,hold
2023-02-13,holding,15544.28,0.0,0.9999847412109375,hold
2023-02-14,holding,15654.48,0.0,0.9999847412109375,hold
2023-02-15,holding,15432.89,0.0,0.999984860420227,hold
2023-02-16,holding,15550.5,0.0,0.999984860420227,hold
2023-02-17,holding,15479.7,0.0,0.9999847412109375,hold
2023-02-20,holding,15551.23,0.0,0.999984860420227,hold
2023-02-21,holding,15563.0,0.0,0.999984860420227,hold
2023-02-22,holding,15418.77,0.0,0.999984860420227,hold
2023-02-23,holding,15615.41,0.0,0.999984860420227,hold
2023-02-24,holding,15503.79,0.0,0.999984860420227,hold
2023-03-01,holding,15598.49,0.0,0.999984860420227,hold
2023-03-02,holding,15598.72,0.0,0.999984860420227,hold
2023-03-03,holding,15608.42,0.0,0.999984860420227,hold
2023-03-06,holding,15763.51,0.0,0.999984860420227,hold
2023-03-07,holding,15857.89,0.0,0.999984860420227,hold
2023-03-08,holding,15818.2,0.0,0.999984860420227,hold
2023-03-09,holding,15770.66,0.0,0.999984860420227,hold
2023-03-10,holding,15526.2,0.0,0.999984860420227,hold
2023-03-13,holding,15560.49,0.0,0.999984860420227,hold
2023-03-14,holding,15360.42,0.0,0.9999847412109375,hold
2023-03-15,holding,15387.59,0.0,0.9999847412109375,hold
2023-03-16,holding,15221.12,0.0,0.9999847412109375,hold
2023-03-17,holding,15452.96,0.0,0.9999847412109375,hold
2023-03-20,holding,15419.97,0.0,0.9999847412109375,hold
2023-03-21,holding,15513.45,0.0,0.9999847412109375,hold
2023-03-22,holding,15760.46,0.0,0.999984860420227,hold
2023-03-23,holding,15863.95,0.0,0.999984860420227,hold
2023-03-24,holding,15914.7,0.0,0.999984860420227,hold
2023-03-27,holding,15830.31,0.0,0.999984860420227,hold
2023-03-28,holding,15701.48,0.0,0.9999847412109375,hold
2023-03-29,holding,15769.76,0.0,0.9999847412109375,hold
2023-03-30,holding,15849.43,0.0,0.9999847412109375,hold
2023-03-31,holding,15868.06,0.0,0.999984860420227,hold
2023-04-06,holding,15810.77,0.0,0.9999847412109375,hold
2023-04-07,holding,15836.5,0.0,0.9999847412109375,hold
2023-04-10,holding,15876.17,0.0,0.9999847412109375,hold
2023-04-11,holding,15913.88,0.0,0.999984860420227,hold
2023-04-12,holding,15932.97,0.0,0.999984860420227,hold
2023-04-13,holding,15804.76,0.0,0.999984860420227,hold
2023-04-14,holding,15929.43,0.0,0.999984860420227,hold
2023-04-17,holding,15963.55,0.0,0.999984860420227,hold
2023-04-18,holding,15869.44,0.0,0.999984860420227,hold
2023-04-19,holding,15770.47,0.0,0.999984860420227,hold
2023-04-20,holding,15707.52,0.0,0.9999847412109375,hold
2023-04-21,holding,15602.99,0.0,0.999984860420227,hold
2023-04-24,holding,15626.87,0.0,0.9999847412109375,hold
2023-04-25,holding,15370.73,0.0,0.9999847412109375,hold
2023-04-26,holding,15374.63,0.0,0.9999847412109375,hold
2023-04-27,holding,15411.49,0.0,0.9999847412109375,hold
2023-04-28,holding,15579.18,0.0,0.9999847412109375,hold
2023-05-02,holding,15636.48,0.0,0.9999847412109375,hold
2023-05-03,holding,15553.41,0.0,0.9999847412109375,hold
2023-05-04,holding,15609.03,0.0,0.9999847412109375,hold
2023-05-05,holding,15626.07,0.0,0.9999847412109375,hold
2023-05-08,holding,15699.57,0.0,0.9999847412109375,hold
2023-05-09,holding,15727.7,0.0,0.9999847412109375,hold
2023-05-10,holding,15641.76,0.0,0.9999847412109375,hold
2023-05-11,holding,15514.64,0.0,0.9999847412109375,hold
2023-05-12,holding,15502.36,0.0,0.9999847412109375,hold
2023-05-15,holding,15475.05,0.0,0.9999847412109375,hold
2023-05-16,holding,15673.9,0.0,0.9999847412109375,hold
2023-05-17,holding,15925.29,0.0,0.999984860420227,hold
2023-05-18,holding,16101.88,0.0,0.999984860420227,hold
2023-05-19,holding,16174.92,0.0,0.999984860420227,hold
2023-05-22,holding,16180.89,0.0,0.999984860420227,hold
2023-05-23,holding,16188.03,0.0,0.999984860420227,hold
2023-05-24,holding,16159.32,0.0,0.999984860420227,hold
2023-05-25,holding,16292.0,0.0,0.999984860420227,hold
2023-05-26,holding,16505.05,0.0,0.999984860420227,hold
2023-05-29,holding,16636.3,0.0,0.999984860420227,hold
2023-05-30,holding,16622.74,0.0,0.999984860420227,hold
2023-05-31,holding,16578.96,0.0,0.999984860420227,hold
2023-06-01,holding,16512.65,0.0,0.999984860420227,hold
2023-06-02,holding,16706.91,0.0,0.999984860420227,hold
2023-06-05,holding,16714.43,0.0,0.999984860420227,hold
2023-06-06,holding,16761.66,0.0,0.999984860420227,hold
2023-06-07,holding,16922.48,0.0,0.999984860420227,hold
2023-06-08,holding,16733.69,0.0,0.999984860420227,hold
2023-06-09,holding,16886.4,0.0,0.999984860420227,hold
2023-06-12,holding,16955.37,0.0,0.999984860420227,hold
2023-06-13,holding,17216.6,0.0,0.999984860420227,hold
2023-06-14,holding,17238.14,0.0,0.999984860420227,hold
